logFC	AveExpr	t	P.Value	adj.P.Val	B
IL13RA2	2.25248119549633	5.5374614025631	8.70775903333313	2.47028912854381e-12	5.81012003033505e-08	17.5397083606597
CXCL6	2.5483443111856	6.61711104021981	7.86899204617334	6.91644001857343e-11	8.13373346184236e-07	14.4348494318698
IGFBP5	0.780848044055952	5.29094537592094	7.24389813834424	8.35869971046761e-10	6.55322057300661e-06	12.1043977856399
IL11	1.45782760788663	5.51479667832675	6.80536724715381	4.77751522556213e-09	2.23266923757641e-05	10.4712793283203
TMTC1	0.472077789236751	4.38150824575941	6.78868580777544	5.10410549812111e-09	2.23266923757641e-05	10.4092981109718
EMR2	0.831152856444848	4.4286433383454	6.76101545372222	5.69558478973575e-09	2.23266923757641e-05	10.3065185078992
CFH	1.03211232022315	4.82119184335202	6.7101760862367	6.96582881323470e-09	2.34051848124686e-05	10.1177886300077
HGF	0.69607977479559	3.81182267365109	6.57065625317097	1.20923057152301e-08	3.55513788027766e-05	9.60067312953725
PAPPA	0.460258751446413	3.94565118795607	6.48341375116123	1.70588261590015e-08	4.43849865055819e-05	9.27801986373102
THBD	0.866653280648442	4.84576754610901	6.45778232715349	1.88711677319651e-08	4.43849865055819e-05	9.18334084228813
CAV2	0.740427411549478	5.52587926487598	6.40649872779331	2.30915944255096e-08	4.93740273534533e-05	8.99407403843098
TNFRSF11B	1.55989524980525	5.80773994022239	6.36760019212691	2.69070801784227e-08	5.08624280193696e-05	8.850671879577
S100A9	1.85620317369066	8.76094787006872	6.35644319789518	2.81127365753318e-08	5.08624280193696e-05	8.80956675126042
PRKCDBP	1.17022061571233	5.65754209232055	6.28006668291273	3.79375135289399e-08	5.94865686109167e-05	8.52850208438598
PXDN	1.18169330192739	6.70196476138712	6.28006433551803	3.79378626345132e-08	5.94865686109167e-05	8.52849345501031
FCGR2A	0.859556776112081	4.17124417607812	6.24586780937666	4.33774391694988e-08	5.99756147958883e-05	8.40284301663487
LILRB2	1.37934153373844	5.19199431637966	6.23631968641738	4.50299473512877e-08	5.99756147958883e-05	8.36778192023937
WWTR1	0.552252891196347	5.48301655857049	6.21575165874332	4.88049660424865e-08	5.99756147958883e-05	8.29228890281504
S100A8	1.85085572085668	7.315709109105	6.20826444611284	5.02557639533858e-08	5.99756147958883e-05	8.26481933832035
STC1	1.4403205245088	5.34807135872105	6.2045080999362	5.09996724454833e-08	5.99756147958883e-05	8.25104016220525
RBMS1	1.05253774696988	6.40209278332286	6.18177255800245	5.5741219260266e-08	6.24301655714979e-05	8.1676746114715
CFH /// CFHR1	1.23092267080088	6.58603475925902	6.1569432459479	6.14200868340979e-08	6.43866505321195e-05	8.07669925431779
INHBA	1.50134906229685	5.14928469264515	6.1434966546436	6.47313881417298e-08	6.43866505321195e-05	8.0274605564157
LOC101927458 /// LPHN2	0.60906986868957	3.81846485672194	6.13804954278006	6.61226254591948e-08	6.43866505321195e-05	8.00752042359455
CAV1	1.36595235846147	7.59578628228821	6.11640681115843	7.19495065639211e-08	6.43866505321195e-05	7.92832845567916
SLC2A3	1.45005913315485	6.04182580475882	6.10255560307317	7.59430171926468e-08	6.43866505321195e-05	7.87767596592169
F5	0.595173076050311	4.07212026999864	6.09358143419431	7.8646946075672e-08	6.43866505321195e-05	7.84487093887239
SLC2A14 /// SLC2A3	1.51138638764731	6.07686543620392	6.08142071008768	8.24638823452408e-08	6.43866505321195e-05	7.80043347926809
PRNP	0.683253807312861	7.00150331128096	6.07888077099197	8.32839945847278e-08	6.43866505321195e-05	7.79115442990576
MNDA	2.20898034165177	6.17807223379183	6.07005893206563	8.61957638556804e-08	6.43866505321195e-05	7.75893232131883
LDLRAD3	1.04772916172287	4.6068941388619	6.05658649542956	9.08383787049208e-08	6.43866505321195e-05	7.70974284780528
KLHL5	0.78081503241038	4.52669706967157	6.05550612489706	9.12212362583326e-08	6.43866505321195e-05	7.70579929431317
RGS5	0.801251716567149	5.95096759738474	6.05164918204866	9.26011382784163e-08	6.43866505321195e-05	7.69172196319089
ANGPTL2	0.870723141016032	5.38720088029411	6.03653913563083	9.82092393765477e-08	6.43866505321195e-05	7.63659088717645
ZNF281	0.572938000000306	6.31986184380554	6.03219513071842	9.98829259322557e-08	6.43866505321195e-05	7.62074671143244
CTHRC1	2.01041506268077	6.64441699528836	6.02925544828003	1.01031551984215e-07	6.43866505321195e-05	7.61002602220087
AAED1	0.565943837020854	5.76235106522088	6.02665615823333	1.02058074554678e-07	6.43866505321195e-05	7.60054765539825
ENTPD1	1.02780195068687	5.4291372738003	6.02106084463288	1.04303002648264e-07	6.43866505321195e-05	7.58014725978202
TNC	1.07758220079379	4.59647348842051	6.01506351087443	1.06763578688464e-07	6.43866505321195e-05	7.55828572900387
ANXA5	0.649942809127564	9.83712545291453	6.00249016212122	1.12110386620191e-07	6.49433087708563e-05	7.51246888805212
MSANTD3	0.546007042288258	5.93080309297919	5.99657017124393	1.14718904017854e-07	6.49433087708563e-05	7.49090403318881
TLR1	1.27606894212075	4.34273895140325	5.99232834759887	1.16624865480189e-07	6.49433087708563e-05	7.47545519429702
SELE	2.14842212558637	5.37333070808575	5.9753900768494	1.24553495311022e-07	6.49433087708563e-05	7.41379009700847
VCAN	1.35136080677502	5.72849159815972	5.97248643013367	1.25965284737531e-07	6.49433087708563e-05	7.40322311521596
ACSL4	0.768285139226969	4.5988687100687	5.96468783798229	1.29835998275968e-07	6.49433087708563e-05	7.37484819490619
NCF2	1.52600927438195	5.81047250924123	5.96121512161086	1.31597320651048e-07	6.49433087708563e-05	7.36221556151482
S100A12	2.35878636322879	5.67120266463497	5.95990361534972	1.32268640684241e-07	6.49433087708563e-05	7.35744515978038
C11orf96	1.57281295871685	8.09631442414551	5.9522035724558	1.36279030098586e-07	6.49433087708563e-05	7.32944231712937
IL6	2.10567216972635	6.51542612014457	5.9518383562373	1.36472207335733e-07	6.49433087708563e-05	7.32811433825289
COL4A1	1.35324104413646	8.03605601638838	5.9488562263562	1.38059755040086e-07	6.49433087708563e-05	7.3172715891665
S100A4	1.16229374664746	8.84654225175133	5.93919337177829	1.43330514742688e-07	6.61006609166278e-05	7.28214700960735
FAM129A	1.2774803218333	6.46712531647646	5.93003002927406	1.48512708401622e-07	6.71335735597126e-05	7.24885047615996
COL12A1	1.12813250322192	4.48299776201639	5.92406113131707	1.51987679478357e-07	6.71335735597126e-05	7.2271679828122
HS3ST3B1	0.597707875213647	4.61669208961789	5.92044290608554	1.54133204601381e-07	6.71335735597126e-05	7.21402700069252
