logFC	AveExpr	t	P.Value	adj.P.Val	B
CCNG2	0.48920372628888	6.88832838204222	5.2915720065185	1.20668844279463e-06	0.0251287371554656	4.85428601818925
CXCL9	1.99634716138976	6.77067184763532	5.1463682341841	2.13679737716545e-06	0.0251287371554656	4.37039982351786
FDCSP	2.15397721744524	5.80017783341026	4.96993133778651	4.24111236969521e-06	0.0332503209784105	3.78975169153457
IDO1	2.05834857818691	8.0387854676759	4.80019077062631	8.1216375411606e-06	0.0477552287420243	3.23942989460021
SERPINA3	1.36488309926156	6.80806397222959	4.72461401326549	1.08107538204809e-05	0.0508537859715421	2.99721147439747
IGH /// IGHA1 /// IGHA2	1.17065228117195	12.1745622267212	4.66878440491967	1.33360956193563e-05	0.0522774948278766	2.81945035289818
C2CD4A	1.04211800243921	6.62673410072864	4.55542062253579	2.03507655197155e-05	0.0623194499396641	2.46167883981625
MMP3	2.75175312249997	8.52579850408265	4.52469299402984	2.28013160755324e-05	0.0623194499396641	2.36546047209684
GPNMB	1.00290978475214	4.30098262913679	4.48889400687598	2.60185749461956e-05	0.0623194499396641	2.25378037174874
WARS	1.14233142445446	8.78140098347634	4.4839477204111	2.64963647702653e-05	0.0623194499396641	2.23838550388798
DRAM1	0.8000624785563	6.22511862605571	4.44726286063262	3.03154830998553e-05	0.0648200147735087	2.12448153206124
GABBR1 /// UBD	1.12913079577343	9.61300700779213	4.38961362471697	3.74178280012427e-05	0.0695252818486334	1.94647586927747
HLA-DQA1 /// HLA-DQA2 /// LOC100509457	1.54093832485074	7.74603123811325	4.38229003915387	3.84280894571528e-05	0.0695252818486334	1.92395059281103
PLA2G7	1.20507770922254	5.26956785921688	4.33172232694615	4.6160655630772e-05	0.0735129940102407	1.76896928199242
MMP12	1.89190177751611	9.11696530312954	4.31476511233079	4.9075798142751e-05	0.0735129940102407	1.71721604360754
ATP2B1	-0.363376623425301	8.03579436264195	-4.30954308817111	5.00088394627488e-05	0.0735129940102407	1.70130072951583
MMP9	1.3689406202168	6.79651937640914	4.28282910797908	5.50567000474841e-05	0.0761725638304015	1.62004876967282
CXCL11	1.78666585862172	6.07061738960211	4.23686993960669	6.49152533686488e-05	0.0848225977350344	1.48091464615068
HEXIM1	-0.222690420606561	7.3131950048258	-4.1481111694617	8.89934049675463e-05	0.110164467622984	1.21460218975639
SLAMF8	0.740451045341455	5.19403679318106	4.08552781164249	0.000110927047066153	0.122921678543434	1.02877152956261
VPS37C	-0.113071542976586	7.03136647568568	-4.08155670095271	0.00011248182215814	0.122921678543434	1.01703539093854
CXCL10	1.46371193171195	7.61438366768338	4.07080808522443	0.000116796062536356	0.122921678543434	0.985302656222253
MBIP	-0.290580959276879	5.32956655169913	-4.05867490431167	0.000121857344329296	0.122921678543434	0.949541316000165
CCDC109B	0.605364927550848	6.72749452855406	4.04319481563166	0.000128621668220286	0.122921678543434	0.90400658438454
C4BPB	0.792501127073983	7.57376793319666	4.03869104260409	0.000130656546070827	0.122921678543434	0.890778021852545
MAP6D1	-0.123651712632838	4.38001995755599	-4.02083969024399	0.000139030756043519	0.123197294647801	0.838430707746554
LOC284630 /// TTC34	-0.167047068935848	3.31191430938649	-4.01592479471275	0.000141425465794669	0.123197294647801	0.824042462743193
MIR7114 /// NSMF	-0.364546933614552	6.08892555673796	-4.0011512288513	0.000148864660828156	0.125046315095651	0.780856387687107
IGLL3P	0.963636144630659	8.51839360078965	3.98828231535771	0.000155649853113443	0.126237398111316	0.74331560940227
IGKV1-17 /// IGKV1-17	1.56876922968779	8.46360586141846	3.97208056934799	0.000164615364512316	0.127874460087089	0.696155743345232
C5orf20 /// TIFAB	0.198750209861535	3.62639082255485	3.96524983867386	0.000168542017971929	0.127874460087089	0.67630760421441
IGLC1	0.686196676988307	7.66153422944713	3.95182677495626	0.000176521761801136	0.129743494923835	0.637364240347104
ITGB2	0.646761131813853	5.41607802040731	3.93395937224663	0.000187707538867184	0.130732391505688	0.585651227451301
IGJ	0.864053826415747	10.8410100941828	3.93198591548102	0.000188983899285433	0.130732391505688	0.579948266967372
ZNF513	-0.203190338784557	5.83959913941302	-3.92054796960828	0.000196547046838685	0.131804161529527	0.546928919570655
DDIT4	0.682095118625233	8.64690259635202	3.90517843128379	0.000207167968191874	0.131804161529527	0.502652496250673
IGLC1 /// IGLJ3 /// IGLV2-14 /// IGLV@	1.26485078578761	9.22184488034995	3.90492872774385	0.000207344981997981	0.131804161529527	0.501934033467897
IGHG1 /// IGHG2 /// IGHM /// IGHV4-31 /// MIR8071-1 /// MIR8071-2	1.65578345237777	11.1579838292992	3.89152793511195	0.000217060289132253	0.131939208985382	0.463417889800349
IGF2BP2	-0.195610603005721	6.08098878026312	-3.88554952617243	0.000221533834105593	0.131939208985382	0.446261255560445
IGK /// IGKC	1.00377570835835	9.00285900275585	3.87443901453498	0.000230083264484137	0.131939208985382	0.414419989359446
CKAP2 /// IGLC1 /// IGLJ2 /// IGLJ2 /// IGLJ3 /// IGLJ3 /// IGLJ3 /// IGLV1-44 /// IGLV2-14 /// IGLV@	1.14118356587416	8.82602907471475	3.8676373544036	0.000235472037227774	0.131939208985382	0.394955192162685
CYAT1 /// IGLC1 /// IGLV1-44	0.482291277087359	6.75893282374635	3.8674705097059	0.000235605730331039	0.131939208985382	0.39447798728403
SLAMF7	0.907773471036677	5.96115432941267	3.85240826403429	0.000247979200000878	0.132778640660843	0.351450067540278
RRM2	0.494435525017018	8.99104078252261	3.85191420650837	0.000248395416202257	0.132778640660843	0.350040476415429
MPEG1	0.893058217280449	6.25182065281511	3.82665885144613	0.000270585204419124	0.132962714600938	0.278135154066415
RP4-781L3.1	0.482514814439256	7.72072767495271	3.82326983772514	0.00027370334782675	0.132962714600938	0.268508731954879
CSF2RB	1.42610240617352	6.92984700902833	3.81038095319545	0.000285878823848254	0.132962714600938	0.231947099027772
GPR37 /// SEL1L2	0.565451524038143	3.23720911137614	3.80840707652498	0.000287788566807973	0.132962714600938	0.226354706673686
FKBP11	0.5224115422628	7.33011262331716	3.80055605335833	0.000295505904758492	0.132962714600938	0.204129261603346
