logFC	AveExpr	t	P.Value	adj.P.Val	B
MMP3	3.95826678359667	6.94673863418358	7.28814457551561	7.8854093719646e-09	0.000148509972922482	9.99433425200048
CHI3L1	1.99828024751739	4.90223410613477	7.13975528801708	1.26283990580342e-08	0.000148509972922482	9.56259752311387
SRGN	1.21786259706628	6.52038919829024	6.77878724861089	3.99547837965097e-08	0.000229766183244087	8.50425719925747
C1R	1.33785696434321	6.64915305912457	6.76442020409895	4.18357245991476e-08	0.000229766183244087	8.46192220535796
S100A8	1.88231219587423	5.2021520468206	6.7160679084572	4.88448518801205e-08	0.000229766183244087	8.31933770955213
FCGR3B	1.90698368848606	5.28982637061616	6.64953311828112	6.04600276757318e-08	0.000237003308488869	8.12287872764986
IGSF6	0.981351939189891	3.6071015432846	6.60006607056062	7.08611169431126e-08	0.000238093352928858	7.97663373120322
abParts /// IGKC /// IGKV4-1 /// IGKV4-1	1.90859241571107	7.7280761461454	6.54314141199143	8.50739127420062e-08	0.000242562122728865	7.80816029981401
CSF2RB	2.1398232831838	5.98128593976482	6.51602851304454	9.28171387993108e-08	0.000242562122728865	7.72785289421866
BCL2A1	2.13001423553448	5.22340880639873	6.47659637624928	1.05358718406058e-07	0.000247803705691049	7.61098597903657
MPEG1	1.35604911914647	5.76430170020917	6.39973391759007	1.34904443977521e-07	0.000263763062960772	7.38296083336545
CDH11	0.609866582514823	4.10241131193885	6.38912654495948	1.39587997576554e-07	0.000263763062960772	7.35147050195089
IFITM2	1.04892918832856	9.1988291851286	6.37204536622232	1.47475123033307e-07	0.000263763062960772	7.30075074958053
COL4A1	1.24369706248496	6.60125221874564	6.35259493455525	1.57001823190936e-07	0.000263763062960772	7.24298054996192
HCK	1.08778144526074	5.61816998437672	6.19852822171316	2.57856460862431e-07	0.000352670159739591	6.7848729713579
LOC101928916 /// NNMT	1.41883165125191	5.81212366906914	6.19008766534818	2.64964876351695e-07	0.000352670159739591	6.75975268598142
CXCL9	2.67945802033793	6.11631708002531	6.18486324771619	2.69462728147501e-07	0.000352670159739591	6.74420305929456
FCER1G	1.33626855280868	5.54120390841387	6.18435927880408	2.69900632453768e-07	0.000352670159739591	6.74270303723997
C1QB	1.31648065159514	5.63852070140384	6.10326451474314	3.50506828880288e-07	0.000424321257201187	6.50124573906025
LY96	1.73534520691314	5.11483613635033	6.09426900179342	3.60817395579241e-07	0.000424321257201187	6.47445245652121
MMP12	2.85251060434129	8.30349696417208	6.04866358444391	4.17950208964866e-07	0.000465577647816962	6.3385920057911
AIF1	0.570900567514701	6.16909780919416	6.03590989875663	4.3548929642743e-07	0.000465577647816962	6.30059182108743
MYO1F	0.672674605595137	5.54592124079439	6.01764878385012	4.61891701215825e-07	0.000472334470112879	6.24617776649658
IGHA1 /// IGHA2 /// IGHG1 /// IGHG3 /// IGHM /// IGHV3-23 /// IGHV4-31	1.17601279700885	7.33126224149533	6.0028385212213	4.84476045567813e-07	0.000474786524656456	6.20204316075836
SERPING1	1.35724568386746	5.14387160067324	5.98876054567784	5.06966607846993e-07	0.000476954184662451	6.1600883057375
PLEK	1.4562263102729	5.83321691908874	5.9414281165163	5.90522203573486e-07	0.000534195470309553	6.01901509503882
TYROBP	1.31798053657899	6.26009317933474	5.91410682826001	6.44880201900808e-07	0.000561762309211371	5.93757748331413
SLAMF7	1.14935338015388	5.49187156579214	5.90264458445189	6.69148590923935e-07	0.000562084816376106	5.90341058112
PDPN	0.409850624687501	3.60213619495226	5.8429808490182	8.1100558117984e-07	0.000645650435042459	5.72556125437562
CXCL6	2.03059877254658	4.2158597213763	5.83822329466265	8.23533718166402e-07	0.000645650435042459	5.71137984978459
NCF2	1.26957146989126	4.30430184246528	5.80244435105221	9.24154029346872e-07	0.000701164605491562	5.6047326874168
IGKV1-17 /// IGKV1-17	2.18908797678643	7.70704233790073	5.77753918870793	1.00135218543799e-06	0.000734443426693242	5.53050242314893
IGKV1OR2-108 /// IGKV1OR2-108	1.72673286337997	8.05650233747989	5.76425925728959	1.04511348690321e-06	0.000734443426693242	5.49092372042274
IGKC	0.738538388132575	6.23503095500326	5.75445080227893	1.07865602526605e-06	0.000734443426693242	5.46169243462821
IGKV1-37 /// IGKV1-37 /// IGKV1D-37 /// IGKV1D-37	1.72140502302388	7.64269216372375	5.75037116828971	1.09292176591256e-06	0.000734443426693242	5.44953459240161
CXCL8	2.53271211077382	6.1461154545187	5.73426833926452	1.15109243174144e-06	0.00075204705540441	5.4015481546992
C1S	1.40469502015887	5.64436145429622	5.71494300543969	1.22499623856988e-06	0.000778700311653067	5.34396353458649
IGK /// IGKC	1.39882364108134	8.48679975602091	5.70202561238302	1.27701552885995e-06	0.000790405401020686	5.30547628183507
IGH /// IGHA1 /// IGHA2	1.73827060647585	11.6384876571985	5.69306385071563	1.31439415002227e-06	0.000792680779705737	5.27877650036323
THEMIS2	0.825170020446865	4.76144737364173	5.66761289844179	1.42660356660041e-06	0.000838842897161041	5.20295880646754
MS4A7	0.762328318157937	4.64251921564093	5.64925787266517	1.51340968187128e-06	0.000854034988188063	5.14828809512118
CTSK	1.27742638264626	6.57403589785077	5.64687419213972	1.52506247890726e-06	0.000854034988188063	5.1411888258135
CHST15	0.553505868363239	4.48878064226363	5.62441906194735	1.63932156986666e-06	0.000875463786500674	5.07431787531707
WARS	1.69855077243455	8.30496936753922	5.62375616783655	1.64282122003646e-06	0.000875463786500674	5.07234398114108
DRAM1	1.08828355957381	5.84917331850633	5.61772711946712	1.67499448947833e-06	0.000875463786500674	5.05439186135968
C1QA	1.32341482405054	6.00278786920158	5.6011881439016	1.76651315814062e-06	0.000901978544948717	5.00515036637496
TNFAIP2	0.608758499635076	5.27373087048588	5.59493078630197	1.80242311278018e-06	0.000901978544948717	4.98652233115615
SLC15A3	0.627679098216916	5.48286721596358	5.5731910151483	1.9329318141692e-06	0.000947136588942906	4.92181246111169
FKBP11	0.730276019388188	7.02046741633056	5.55392302261868	2.05644838066258e-06	0.000987095222718039	4.86447240071829
SLAMF8	0.953341508774469	4.81265233572319	5.54107068974213	2.14317752276067e-06	0.00100155871788316	4.8262317394516
MMP9	1.70369481228209	6.21915522942394	5.53695016651706	2.17174721989971e-06	0.00100155871788316	4.81397280394428
P2RY13	1.10354927043385	4.04880415597759	5.52275271253987	2.27312144593731e-06	0.00102815031554703	4.77173874275509
IGH /// IGHA1 /// IGHA2 /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC102725526	1.50237552191723	6.8663622446675	5.51157349604215	2.35624901128162e-06	0.00103202151052566	4.73848847518088
ITGB2	0.872426924506617	5.06289101146832	5.50873799204357	2.37781041700622e-06	0.00103202151052566	4.7300556119343
PLA2G7	1.51230854924899	4.78392092621703	5.50412408421254	2.41331560709657e-06	0.00103202151052566	4.71633439599431
CXCL10	2.14261313924964	6.87671586058155	5.49680594188259	2.47071610409274e-06	0.00103770076371895	4.69457282563541
CD163	0.524044540079696	4.39366178631904	5.48328025182639	2.58040675481851e-06	0.00106475731356722	4.6543578884414
VNN2	0.933628732945374	4.6220024654577	5.47356136284893	2.66220511564453e-06	0.00107307572769463	4.62546612238563
VWF	0.455445713030684	5.52230435909482	5.46575196072143	2.72979829568334e-06	0.00107307572769463	4.60225369522342
LGALS1	1.07174283566962	8.00477315112568	5.46269356842855	2.75673279152137e-06	0.00107307572769463	4.59316374706747
CLEC7A	0.370305943577842	3.61865854721964	5.45092674915848	2.86284915392645e-06	0.00107307572769463	4.5581950695676
BASP1	0.857520592394092	5.24175730587414	5.45048610557352	2.8669009912747e-06	0.00107307572769463	4.55688568432208
IGKC /// IGKV2-28 /// IGKV2-28 /// IGKV2D-28 /// IGKV2D-28	1.92688174840573	7.22888115968722	5.44968196619147	2.87430998489632e-06	0.00107307572769463	4.55449618350136
ADAM19	0.41823678829271	4.65289468255294	5.44058739075402	2.95944134539759e-06	0.00108759469443362	4.52747371149451
IFI30 /// PIK3R2	1.08255335415711	9.21333714968758	5.42171676611216	3.14416857082892e-06	0.0011377053043984	4.47141633234976
MS4A6A	0.411093933021295	4.92239274990254	5.40033335874417	3.36738907405547e-06	0.00117902772158053	4.40791551999849
PLAU	1.24434285234066	5.46568657684688	5.40006540692572	3.37028393283843e-06	0.00117902772158053	4.40711994891761
PIM2	0.643630814639393	5.87148873982126	5.39652617461062	3.40875361681447e-06	0.00117902772158053	4.39661202340002
TGFBI	1.19889346438791	8.07017403672691	5.38885672262883	3.49362160061127e-06	0.00119086927603445	4.37384377716858
LAMP3	1.56836124016415	5.63831937600255	5.3756123489457	3.64515587765948e-06	0.00122348872348894	4.33453264517834
RAB31	1.43802028314221	6.65591467151509	5.36765421323143	3.73933278589844e-06	0.00122348872348894	4.31091636963604
AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2	1.30237039244428	7.66222909879185	5.36715057123966	3.74537364333349e-06	0.00122348872348894	4.30942189721266
SERPINB9	0.622192929257769	5.05138089410598	5.34537169142595	4.01608912826473e-06	0.00129395090817516	4.24481041215254
LST1	0.616467893916776	5.829549863037	5.33885111722283	4.10086154494572e-06	0.00130340896671788	4.22547110104943
IDO1	2.81751173978488	7.30463069210035	5.33461007521982	4.15695039425789e-06	0.00130361964363927	4.2128939749608
IFITM3	0.90316888747256	10.4991617413374	5.32219881403645	4.32551025632312e-06	0.00133863159511473	4.17609362754963
FAM26F	1.1328188329189	4.87439231383366	5.31393083389103	4.44155110340782e-06	0.00135669197340457	4.15158362203606
NCF1	0.968621821848614	5.33211717611662	5.30846386328897	4.51997332255045e-06	0.00136294580187675	4.1353793879415
HLA-DQA1 /// HLA-DQA2 /// LOC100509457	2.17032010641906	7.19575651675171	5.29645295584398	4.69713076375167e-06	0.00139843690586632	4.09978536751536
RP4-781L3.1	0.715078044568474	7.52124306646972	5.29189843303361	4.7660977567509e-06	0.00140123274048476	4.08629056161664
SAMHD1	0.753657494904787	5.81304641611704	5.27968578450507	4.95603269748639e-06	0.00143908504993679	4.05011179770501
ITGA5	0.496138731313938	6.05953339991757	5.26804969422484	5.14398837724284e-06	0.0014688248088736	4.01565021591867
INHBA	1.00954976127583	3.90052929432893	5.26566622824533	5.18335285444342e-06	0.0014688248088736	4.00859243945968
IL10RA	0.945752682200716	5.41285252647276	5.25823118165678	5.30807959651943e-06	0.00148626228702544	3.98657871500587
ICAM1	0.787286062015501	5.54089226029591	5.23610189283275	5.69721801390999e-06	0.00157645373749604	3.92108095413876
CD300A	0.354526480496566	4.41345146156516	5.22898002674589	5.82837989264478e-06	0.00159399412877913	3.90000922536498
FCGR2A	0.582349746190105	3.40351000239944	5.22410839314769	5.91982175851109e-06	0.00160039319264576	3.88559746262448
C2CD4A	1.62024616806884	6.391985264614	5.2094859851351	6.20292701609501e-06	0.00165787322066539	3.84235047043071
MNDA	1.58523339103508	4.12926766805639	5.20298966828683	6.33297490632736e-06	0.00167361314378449	3.82314220358199
FCGR3A /// FCGR3B	1.18869326530361	4.29951589800121	5.18660485637212	6.67311914463209e-06	0.00174390846979719	3.7747100282035
CCNG2	0.59041030379093	6.8994344471139	5.17082043079437	7.01792292270331e-06	0.00181386315540639	3.72807237861645
G0S2	1.55286043342526	6.11031842895675	5.15571838308144	7.36434506040858e-06	0.00186805208002294	3.68346962440964
LEPRE1	0.400809192794793	5.86823254405521	5.15477962377366	7.38643041845804e-06	0.00186805208002294	3.68069768405254
ENTPD1	0.675192272998411	4.55205878049895	5.14302958342972	7.66848275660382e-06	0.00190363984514323	3.64600868896114
EVI2B	1.42588204184851	6.36617312049112	5.14219077485594	7.68902148335915e-06	0.00190363984514323	3.64353276102462
CXCL1	2.13339027537111	7.56566779144335	5.13547439507793	7.85545509402961e-06	0.00192458649803726	3.62371002676413
GNB4	0.617624988045523	4.40965358112082	5.11189995203863	8.4684085870536e-06	0.00205337082440722	3.55416294901555
IGHA1 /// IGHG1 /// IGHM /// IGHV3-23 /// IGHV4-31	1.03227652794626	4.58415540362238	5.09663426756286	8.89038018882712e-06	0.00210964549309878	3.50915356650371
CTHRC1	1.61301080678131	4.71443611621923	5.09467065529041	8.94614906675806e-06	0.00210964549309878	3.50336556083666
CD86	0.644076379463464	3.95551398708114	5.09384923169833	8.96958117814109e-06	0.00210964549309878	3.50094440994968
MSN	0.58191836217716	5.57069340279081	5.0764301265382	9.48105316285846e-06	0.00218650837866868	3.44961598451158
SELE	1.20193974563848	3.58777024564651	5.07638858799449	9.48230674422642e-06	0.00218650837866868	3.44949361733778
IGH /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV3-23 /// IGHV4-31	1.52379665896647	6.49573196431915	5.05661516909667	1.00980771500441e-05	0.00230589101523337	3.39126204529243
SERPINF1	0.954289851277844	6.23433834789042	5.04114064704128	1.06074619543605e-05	0.00238372624557888	3.34571647468549
IL1A	0.576500329387574	4.17599949352936	5.03935595760564	1.06678224289172e-05	0.00238372624557888	3.34046516068002
CCR1	0.902317229096222	5.03606210617369	5.03531475423488	1.08057611499826e-05	0.00238372624557888	3.32857537839773
C1QC	1.181626886108	6.48033138563606	5.03419385422306	1.08443328349039e-05	0.00238372624557888	3.32527781916095
