baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
155.34843451241167,-1.299237979771876,0.34613508057161296,-3.7535576504591615,1.743424124335025e-4,9.769527631488324e-4
472.89148493145854,-1.3077911032789376,0.2681727515430848,-4.876674068315353,1.0788948331193285e-6,1.161492716485734e-5
591.6205845760834,1.0675111102892638,0.1009730360199669,10.572239405361337,4.008076452161926e-26,1.1404942249759582e-23
31.373003173502333,1.7442827139853094,0.1751825364193845,9.95694405182901,2.3518071186745036e-23,4.946293464667304e-21
0.4551459457916745,-1.310977781869926,0.4655576901458394,-2.8159298184060764,0.004863628998863632,0.01675546011795188
37.38155296597458,-1.0224580434807888,0.1778788493624411,-5.748058564272901,9.027397394639022e-9,1.656202161706719e-7
2.6783635376708492,-1.176951359332847,0.19653496948584642,-5.988508622215477,2.1177391424808537e-9,4.37164017577271e-8
125.90694562423819,-1.3713226267742962,0.21233429185225,-6.458319166498612,1.0587227249217653e-10,2.8504979933329605e-9
1.2145063253249475,1.824986058284556,0.5324590094803275,3.4274677032241723,6.092387689993709e-4,0.0028724083871731225
0.9570628582142767,-2.0134575447116116,0.5856400995569674,-3.438045902653828,5.85928364732012e-4,0.002776940701825917
0.9195157864751847,1.2405488077441034,0.39266271117609003,3.159324204807871,0.0015813546967994585,0.006427078948859444
0.8761041746521955,-1.014506005100591,0.3150505076652904,-3.220137661794857,0.0012812905243955687,0.005363163567934379
2.614335953636045,-1.9725229139430565,0.29031120157614,-6.794511900450119,1.0867984574747616e-11,3.609066181893304e-10
16.343782829523253,-1.012043826823428,0.17783864496239962,-5.690798122294534,1.2644693386278897e-8,2.2460194666056222e-7
2.981506991431794,-1.9928357662954286,0.2904981210920227,-6.86006421936253,6.882959887994272e-12,2.3502473857546564e-10
18.706354369566718,-1.014474376116867,0.181382134106364,-5.593022604541475,2.2315022489363123e-8,3.7394411820512426e-7
82.4017609346524,-1.0600284562560627,0.17947912879514552,-5.9061377407618325,3.502211868328977e-9,6.886734232139583e-8
0.7999386559320261,-1.1074725060246193,0.30772028133297474,-3.5989584476762424,3.194942285452118e-4,0.0016476546711613766
5.078227629322151,1.820100987392977,0.269860846720647,6.744590812305199,1.534588842188503e-11,4.916104476344272e-10
11.219908726826201,1.0774415097829537,0.16197234805654293,6.652008955299146,2.8911910594689395e-11,8.796009361637998e-10
1.5561121849042114,1.02011947833026,0.3331375148967219,3.062157315565357,0.002197479295901775,0.008542678687952467
2.9900548622677947,2.674569589595704,0.42229768201980483,6.333375018312965,2.398556119812612e-10,5.991023478609402e-9
3.312581285674299,2.5746376072446195,0.39157250118687215,6.575123634680138,4.8612757642634365e-11,1.3942062033792687e-9
3.4382696251252898,-1.163257069270685,0.25367568662801016,-4.585607255994085,4.526688187845172e-6,4.0802049057148534e-5
3.4857439426620607,2.7793050199526936,0.4007091268066757,6.935966350708015,4.034536326748563e-12,1.4385550656947212e-10
4.103665263937271,2.08049549427994,0.31112430428163773,6.687023371843757,2.277555167809893e-11,7.017384415128911e-10
0.5992522599283697,1.2526189787507411,0.4134635747816332,3.0295751673222964,0.0024489795420845717,0.009323082663885441
4.03169467312384,1.176285293055474,0.2146194642114892,5.48079503122953,4.234187951697003e-8,6.635694984344159e-7
3.0777738449622536,-1.0265509726371347,0.2152330029980375,-4.7694868274755,1.8469581943178824e-6,1.8756513167208615e-5
1.289379561273406,1.4254121057674292,0.3477843427065359,4.098551690609622,4.157433991318566e-5,2.81533747466239e-4
1.1386214689728293,1.1498838613909976,0.3484952464403927,3.2995682814505076,9.683366746302229e-4,0.00421743752167881
1.9198913556422763,-1.7164897574488922,0.36102630170402045,-4.754472871774642,1.989648543808726e-6,1.9995692290687142e-5
1.5133893792744264,1.1283740426846345,0.302276273620681,3.7329229620602082,1.8927049723072131e-4,0.0010483562808443617
0.47973136177496056,-1.0816833215876167,0.33108834321009467,-3.2670534731004595,0.0010867315162283366,0.00465073658611195
0.5533521288552296,1.461926867323675,0.5258164303399654,2.780298946494444,0.005430887745850779,0.018341410976910985
7.258576767715786,1.6851482552661197,0.2656635260156225,6.343167541813864,2.2508840797847465e-10,5.651354630767516e-9
5.626430046183008,-1.114316458157885,0.2147822100339911,-5.188122694060812,2.1242463434944743e-7,2.7999148898085202e-6
1814.905739270363,1.668464855795589,0.16875886476677268,9.886679778875218,4.755385065300444e-23,9.584742787172227e-21
923.0747526441068,1.7034202138725183,0.20839339668164428,8.174060411687503,2.981803942050992e-16,2.2537468128668748e-14
259.9813555509452,1.4578722236593549,0.22043657236592026,6.613567830474683,3.751659716452299e-11,1.099880521316278e-9
0.6557256678478431,-1.585424228088361,0.3658946364948514,-4.333007565446152,1.470860533768464e-5,1.1341725858686476e-4
3.7288471397271357,1.8106885932950203,0.3216460911284154,5.629443799371754,1.8079166758428327e-8,3.108588483392321e-7
14.442513001794637,-1.4441466885643377,0.23734914449733674,-6.084482384054021,1.168682503332859e-9,2.542716714897519e-8
1.3488578019637143,1.141190914584296,0.2944719382370921,3.8753808645273145,1.0645805591747873e-4,6.38660317269306e-4
2.1497555781323663,-1.1157445795785832,0.2842621646286153,-3.925054820560761,8.670998883653346e-5,5.338715986405488e-4
4.594713588483657,1.034908717846307,0.22568294770573516,4.585675295218627,4.5252141649205686e-6,4.0802049057148534e-5
6.427483657749301,1.3687218834674861,0.20684231352552693,6.61722381720783,3.6600714142766753e-11,1.077382482028055e-9
0.6824901069270293,-1.061495069385969,0.31933085537478695,-3.3241230890141544,8.869703833214505e-4,0.00393029441305676
