gene_id	colors
IGH /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV3-23 /// IGHV4-31	salmon
PTGR1	brown
CYR61	green
HBB	grey
FCN1	blue
CA12	yellow
HNF4G	brown
PLAU	blue
GAS1	blue
ZNF488	brown
GOLT1A	brown
VNN2	blue
CDHR5	brown
LY96	blue
ENPP3	brown
TWIST1	blue
PARM1	yellow
CHN2	brown
PCK2	brown
LOC149703	brown
UNC5CL	brown
ST6GALNAC6	yellow
ALDH1A2 /// LOC101928635	yellow
abParts /// IGKC /// IGKV4-1 /// IGKV4-1	salmon
COL6A3	blue
PLA2G7	blue
FGF7 /// KGFLP1 /// KGFLP2	blue
GPR128	brown
AADACP1	brown
VCAM1	purple
DHRS11	brown
CLCA4	turquoise
LOC101928916 /// NNMT	blue
HLA-DRB4	grey
VSIG1	grey
CHP2	brown
NAGS	brown
SLCO1B3	blue
CFI	brown
HMGCS2	magenta
TM6SF2	brown
S100A7	green
FCER1G	blue
SST	brown
GJA1	blue
IGKV1-37 /// IGKV1-37 /// IGKV1D-37 /// IGKV1D-37	salmon
PLLP	brown
TYRP1	blue
CNTN3	yellow
COL3A1	blue
IGLC1 /// IGLJ3 /// IGLV2-14 /// IGLV@	salmon
PKIB	yellow
LDHB	yellow
FGFBP1	yellow
IFI44L	cyan
LOC101928820	brown
SLC2A14 /// SLC2A3	blue
GATA5	brown
INHBA	blue
CHRFAM7A /// CHRNA7 /// LOC101929970 /// LOC101930361	brown
EPDR1	brown
GZMA	brown
LGALS2	brown
GBP3	grey
BEST2	yellow
PLCB4	yellow
NAT8 /// NAT8B	brown
C11orf96	blue
CYP2B6 /// CYP2B7P	brown
LILRB2	blue
SPARC	blue
PRKAR2B	yellow
CTSK	blue
HLA-DQA1 /// HLA-DQA2 /// LOC100509457	blue
CTSE	brown
SLC2A3	blue
MMRN1	blue
ITM2C	yellow
IGH /// IGHA1 /// IGHA2 /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC102725526	salmon
S100P	green
SERPINA3	grey
ELTD1	blue
MCOLN2	yellow
HLA-DQB1	grey
SLC2A5	brown
WNT5A	blue
SNAI2	blue
ADH1C	turquoise
FOXQ1	grey
NEXN	brown
C12orf75	yellow
TNFRSF17	salmon
DUOXA2	green
RSAD2	turquoise
FGL2	brown
IGHA1 /// IGHD /// IGHG1 /// IGHG3 /// IGHM /// IGHV4-31	salmon
KLK10	blue
RGS2	brown
IGK	salmon
IFNG	cyan
SLC15A1	brown
IGH /// IGHA1 /// IGHD /// IGHG1 /// IGHG3 /// IGHM /// IGHV3-23 /// IGHV4-31	salmon
RSPO3	blue
CEACAM1	yellow
UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9	brown
GRAMD1C	brown
CCR1	blue
IGKV1OR2-108 /// IGKV1OR2-108	salmon
IL7R	blue
CLDN2	brown
HOXA13	yellow
COL4A1	blue
PYGL	yellow
TXLNGY	blue
RARRES1	grey
VCAN	blue
ASPA	brown
ACSL1	blue
TAC1	brown
TMEM163	grey
SLC35G1	brown
MAF	brown
EGFL6	blue
PPBP	blue
IGLC1 /// IGLV3-25 /// IGLV3-25	salmon
CAV1	blue
LUM	blue
CD14	blue
TNFRSF11B	blue
CYP2C19	brown
